"id","gameName","alternateNames","subcategory","level","description","playersMax","ageRange","duration","equipmentNeeded","objective","skillsDeveloped","setupTime","indoorOutdoor","place","physicalIntensityLevel","educationalBenefits","category"
"G121","Mancala",,"Strategy Game","Beginner to Intermediate","A two-player game where players sow and capture seeds based on counts in holes on the board.","2","6+","15-30 minutes","Mancala board; 48 stones or seeds","Capture more stones than your opponent.","Counting; Strategic planning; Forward thinking","2 minutes","Indoor","Tabletop","Low","Improves counting skills and strategic planning","Indoor Games"
"G122","Laser Tag",,"Electronic Game","Beginner to Advanced","Players use infrared-emitting light guns to tag targets worn by other players.","Unlimited","8+","Variable","Laser tag guns; Sensor vests; Arena","Score points by tagging opponents while avoiding being tagged.","Teamwork; Strategy; Physical fitness","10 minutes","Indoor","Laser tag arena","Moderate to High","Promotes teamwork, strategy, and physical activity","Indoor Games"
"G123","Escape Room",,"Puzzle Game","Beginner to Advanced","A physical adventure game where players solve puzzles and riddles to escape from a locked room.","10","12+","1 hour","Themed room; Puzzles; Locks","Escape the room within the time limit by solving all puzzles.","Problem-solving; Teamwork; Critical thinking","15 minutes","Indoor","Escape room venue","Low","Enhances problem-solving skills and teamwork","Indoor Games"
"G124","Spoons",,"Card Game","Beginner","A fast-paced game where players pass cards to collect four of a kind and grab a spoon before others do.","13","7+","10-20 minutes","Standard deck of cards; Spoons (one fewer than the number of players)","Be the last player to avoid elimination by grabbing a spoon.","Observation; Speed; Coordination","2 minutes","Indoor","Tabletop","Moderate","Improves quick thinking and reflexes","Indoor Games"
"G125","Murder Mystery Party",,"Party Game","Intermediate","Players take on roles to solve a fictional murder case during a party.","20","16+","2-3 hours","Murder mystery kit; Costumes (optional)","Determine who among the players is the murderer.","Deduction; Role-playing; Social interaction","30 minutes","Indoor","Living room or event space","Low","Enhances deductive reasoning and social skills","Indoor Games"
"G126","Risk",,"Board Game","Intermediate to Advanced","A strategy game of diplomacy and conquest where players control armies to conquer territories.","6","10+","2-4 hours","Risk game board; Army tokens; Dice; Cards","Conquer all territories on the board.","Strategic planning; Negotiation; Risk assessment","10 minutes","Indoor","Tabletop","Low","Develops strategic thinking and negotiation skills","Indoor Games"
"G127","Settlers of Catan","Catan","Board Game","Intermediate","Players collect resources and build settlements to earn victory points.","4","10+","1-2 hours","Catan game board; Resource cards; Tokens; Dice","Be the first to reach a set number of victory points.","Resource management; Strategy; Negotiation","10 minutes","Indoor","Tabletop","Low","Enhances strategic planning and resource management skills","Indoor Games"
"G128","Yahtzee",,"Dice Game","Beginner","Players roll five dice to make certain combinations and score points.","Unlimited","8+","30 minutes","Five dice; Scorecards; Pen","Score the most points by rolling specific dice combinations.","Probability; Strategic decision-making; Counting","2 minutes","Indoor","Tabletop","Low","Improves understanding of probability and strategic choices","Indoor Games"
"G129","Bingo",,"Game of Chance","Beginner","Players mark off numbers on cards as they are randomly drawn and called out.","Unlimited","6+","Variable","Bingo cards; Number tokens; Marker","Be the first to complete a specified pattern on your card.","Number recognition; Listening; Patience","5 minutes","Indoor","Community hall; Classroom","Low","Enhances number recognition and listening skills","Indoor Games"
"G130","Apples to Apples",,"Party Game","Beginner","Players match red apple cards (nouns) to green apple cards (adjectives) and judge the best match.","10","12+","30-60 minutes","Apples to Apples card sets","Win the most rounds by having your card chosen as the best match.","Creative thinking; Humor; Social interaction","2 minutes","Indoor","Tabletop","Low","Encourages creativity and social engagement","Indoor Games"
"G131","Aerobics",,"Gym Activity","Beginner to Advanced","A form of physical exercise that combines rhythmic aerobic exercise with stretching and strength training routines.","Unlimited","12+","30-60 minutes","Exercise mat; Aerobic step; Music","Improve cardiovascular health and overall fitness.","Endurance; Coordination; Flexibility","10 minutes","Indoor","Gym or fitness studio","Moderate to High","Enhances cardiovascular health, coordination, and flexibility","Indoor Games"
"G132","Yoga",,"Gym Activity","Beginner to Advanced","A group of physical, mental, and spiritual practices aimed at improving flexibility, strength, and mindfulness.","Unlimited","6+","30-90 minutes","Yoga mat; Blocks; Straps","Achieve physical and mental well-being through poses and breathing techniques.","Flexibility; Balance; Mindfulness","5 minutes","Indoor","Yoga studio or quiet space","Low to Moderate","Improves flexibility, balance, and reduces stress","Indoor Games"
"G133","Pilates",,"Gym Activity","Beginner to Advanced","A physical fitness system that focuses on core strength, posture, and flexibility.","Unlimited","12+","45-60 minutes","Exercise mat; Pilates ball; Resistance bands","Strengthen core muscles and improve posture.","Core strength; Flexibility; Posture","5 minutes","Indoor","Pilates studio or gym","Low to Moderate","Enhances core strength, flexibility, and body alignment","Indoor Games"
"G134","Indoor Cycling","Spin Class","Gym Activity","Beginner to Advanced","A form of exercise with classes focusing on endurance, strength, intervals, and high-intensity training using stationary bikes.","Unlimited","14+","30-60 minutes","Stationary bike; Towel; Water bottle","Improve cardiovascular fitness and leg strength.","Endurance; Leg strength; Cardiovascular health","5 minutes","Indoor","Cycling studio or gym","High","Boosts cardiovascular health and leg muscle endurance","Indoor Games"
"G135","Karate",,"Martial Art","Beginner to Black Belt","A martial art developed in the Ryukyu Kingdom, focusing on striking techniques.","Unlimited","6+","Variable","Karate gi (uniform); Belt","Develop self-defense skills and discipline.","Self-defense; Discipline; Coordination","10 minutes","Indoor","Dojo or martial arts studio","Moderate to High","Improves physical fitness, discipline, and self-confidence","Indoor Games"
"G136","Taekwondo",,"Martial Art","Beginner to Black Belt","A Korean martial art characterized by its emphasis on head-height kicks and jumping spinning kicks.","Unlimited","6+","Variable","Dobok (uniform); Belt","Master self-defense techniques and improve physical fitness.","Flexibility; Speed; Discipline","10 minutes","Indoor","Dojo or martial arts studio","Moderate to High","Enhances flexibility, self-discipline, and confidence","Indoor Games"
"G137","Judo",,"Martial Art","Beginner to Black Belt","A modern martial art and Olympic sport that focuses on throws and grappling techniques.","Unlimited","8+","Variable","Judogi (uniform); Belt","Subdue the opponent using throws and holds.","Balance; Strength; Strategy","10 minutes","Indoor","Dojo or martial arts studio","Moderate to High","Develops physical strength, strategy, and mutual respect","Indoor Games"
"G138","Kung Fu",,"Martial Art","Beginner to Master","A Chinese martial art with a variety of styles, focusing on both armed and unarmed techniques.","Unlimited","6+","Variable","Kung Fu uniform; Training weapons (for advanced levels)","Cultivate self-defense skills and inner peace.","Agility; Strength; Mindfulness","10 minutes","Indoor","Dojo or martial arts studio","Moderate to High","Improves agility, discipline, and mental focus","Indoor Games"
"G139","Ballet",,"Dance Form","Beginner to Professional","A classical dance form characterized by grace and precision of movement.","Unlimited","4+","Variable","Ballet shoes; Leotard; Tights","Express stories and emotions through dance movements.","Flexibility; Balance; Discipline","5 minutes","Indoor","Dance studio","Moderate","Enhances flexibility, posture, and artistic expression","Indoor Games"
"G140","Hip-Hop",,"Dance Form","Beginner to Advanced","A dance style primarily performed to hip-hop music, incorporating a variety of street dance moves.","Unlimited","6+","Variable","Comfortable clothing; Sneakers","Perform energetic dance routines to hip-hop music.","Coordination; Rhythm; Creativity","5 minutes","Indoor","Dance studio","Moderate to High","Boosts coordination, self-expression, and physical fitness","Indoor Games"
"G141","Salsa",,"Dance Form","Beginner to Advanced","A popular form of social dance originating from Cuban folk dances.","Unlimited","10+","Variable","Dance shoes; Comfortable attire","Dance with a partner to salsa music, incorporating turns and footwork.","Coordination; Rhythm; Social skills","5 minutes","Indoor","Dance studio or social venue","Moderate","Enhances coordination, social interaction, and cultural appreciation","Indoor Games"
"G142","Contemporary Dance",,"Dance Form","Beginner to Advanced","A style of expressive dance combining elements of several genres including modern, jazz, lyrical, and classical ballet.","Unlimited","8+","Variable","Dance attire; Barefoot or dance shoes","Express emotions and ideas through fluid dance movements.","Flexibility; Creativity; Emotional expression","5 minutes","Indoor","Dance studio","Moderate","Fosters creativity, emotional expression, and physical fitness","Indoor Games"
"G143","Bowling",,"Recreational Game","Beginner to Advanced","A sport in which players roll a ball down a lane to knock down pins.","6","5+","Variable","Bowling ball; Bowling shoes; Pins (provided by venue)","Knock down as many pins as possible to score points.","Hand-eye coordination; Precision; Timing","5 minutes","Indoor","Bowling alley","Low to Moderate","Improves coordination and social interaction","Indoor Games"
"G144","Billiards","Pool","Recreational Game","Beginner to Advanced","A game where players use a cue stick to strike balls on a table into pockets.","4","10+","Variable","Billiard table; Cue sticks; Billiard balls; Chalk","Score points by pocketing balls in a specific order or pattern.","Hand-eye coordination; Precision; Strategy","5 minutes","Indoor","Game room","Moderate","Improves focus, coordination, and strategic thinking","Indoor Games"
"G145","Darts",,"Recreational Game","Beginner to Advanced","Players throw small missiles at a circular target (dartboard) to score points.","8","10+","Variable","Dartboard; Darts","Reduce your score to zero by hitting specific targets on the board.","Precision; Hand-eye coordination; Mathematics","5 minutes","Indoor","Game room; Pub","Low","Enhances math skills and precision","Indoor Games"
"G146","Table Football","Foosball","Recreational Game","Beginner to Intermediate","A table-top game that is loosely based on soccer, where players manipulate rods to control figures on the table.","4","6+","10-30 minutes","Foosball table","Score more goals than the opponent by manipulating figures to hit the ball into the goal.","Hand-eye coordination; Reflexes; Strategy","2 minutes","Indoor","Game room","Low","Improves coordination and strategic thinking","Indoor Games"
