"id","gameName","alternateNames","subcategory","level","description","playersMax","ageRange","duration","equipmentNeeded","objective","skillsDeveloped","setupTime","indoorOutdoor","place","physicalIntensityLevel","educationalBenefits","category"
"G383","Mental Math Challenges",,"Math Game","Intermediate","Exercises and games that require solving math problems mentally without the aid of calculators or paper.","1+","8+","Variable","None or printed problems","Solve math problems accurately and quickly in your head.","Math skills; Concentration; Memory","None","Indoor","Anywhere","Low","Enhances arithmetic skills and mental calculation ability","Mind Games"
"G384","Spot the Difference",,"Visual Puzzle","Beginner","Players compare two similar images to find subtle differences between them.","1+","5+","Variable","Printed images; Books; Online versions","Identify all differences between the two images.","Attention to detail; Observation; Visual perception","None","Indoor","Anywhere","Low","Improves observation skills and attention to detail","Mind Games"
"G385","Brain Yoga",,"Puzzle Game","Intermediate","A collection of puzzles and brain teasers designed to stretch cognitive abilities.","1","10+","Variable","Puzzle books; Apps","Solve various puzzles to challenge your brain.","Problem-solving; Creativity; Logical reasoning","None","Indoor","Anywhere","Low","Enhances cognitive flexibility and problem-solving skills","Mind Games"
"G386","Tangram",,"Dissection Puzzle","Beginner to Intermediate","A puzzle consisting of seven flat shapes that are put together to form shapes.","1+","5+","Variable","Tangram set (seven geometric pieces)","Form specific shapes using all seven pieces without overlap.","Spatial reasoning; Geometry; Problem-solving","None","Indoor","Tabletop","Low","Develops spatial awareness and geometric understanding","Mind Games"
"G387","Memory Palaces","Method of Loci","Memory Technique","Intermediate","A mnemonic device involving visualizing familiar spatial environments to enhance recall of information.","1","12+","Variable","None","Memorize and recall information using imagined locations.","Memory; Visualization; Association","None","Indoor","Anywhere","Low","Improves memory and recall through visualization techniques","Mind Games"
"G388","Kakuro","Cross Sums","Math Puzzle","Intermediate to Advanced","A crossword-like puzzle that uses numbers; players fill in blanks so that the sums match the clues.","1","10+","Variable","Printed puzzles; Online or app versions","Fill the grid with numbers that add up to the given sums.","Math skills; Logical reasoning; Concentration","None","Indoor","Anywhere","Low","Enhances arithmetic skills and logical thinking","Mind Games"
"G389","Cryptic Crosswords",,"Word Puzzle","Advanced","A crossword puzzle where each clue is a word puzzle in and of itself, requiring lateral thinking to solve.","1","15+","Variable","Printed crosswords; Newspapers; Online versions","Solve clues using wordplay to fill in the crossword grid.","Vocabulary; Lateral thinking; Problem-solving","None","Indoor","Anywhere","Low","Develops advanced vocabulary and lateral thinking skills","Mind Games"
"G390","Brain Age","Dr. Kawashima's Brain Training","Brain Training Game","Beginner to Intermediate","A video game featuring puzzles to help keep the brain active, including math, memory, and reading exercises.","1","10+","Variable","Nintendo DS console; Game cartridge","Complete daily exercises to improve brain age score.","Memory; Math skills; Concentration","2 minutes","Indoor","Home gaming setup","Low","Enhances cognitive functions through regular practice","Mind Games"
"G391","Riddles",,"Word Puzzle","Beginner to Advanced","Puzzles presented in the form of questions or statements that require ingenuity and lateral thinking to solve.","1+","8+","Variable","None; Riddle books; Websites","Solve riddles by interpreting clues and thinking creatively.","Critical thinking; Lateral thinking; Comprehension","None","Indoor","Anywhere","Low","Enhances problem-solving skills and creativity","Mind Games"
"G392","Logic Puzzles",,"Brain Teasers","Beginner to Advanced","Puzzles that require logical deduction to solve, often involving scenarios that need to be analyzed to reach a conclusion.","1+","10+","Variable","Puzzle books; Printed or digital puzzles","Use logical reasoning to solve the puzzle.","Logical reasoning; Deduction; Critical thinking","None","Indoor","Anywhere","Low","Improves logical thinking and deductive reasoning skills","Mind Games"
"G393","Escape Puzzles",,"Puzzle Game","Intermediate to Advanced","Puzzles that simulate the experience of an escape room, requiring players to solve a series of challenges to 'escape.'","1+","12+","1-2 hours","Puzzle boxes; Books; Apps; Board games","Solve all puzzles to 'escape' or reach the final solution.","Problem-solving; Teamwork (if multiplayer); Critical thinking","5 minutes","Indoor","Home or designated area","Low","Develops problem-solving skills and strategic thinking","Mind Games"
