"G329","Gonggi","Korean Jacks","Traditional Game","Beginner","A Korean children's game played with five small stones, involving various throwing and catching sequences.","1+","5+","Variable","Five small stones or plastic pieces","Complete a series of skillful maneuvers with the stones.","Dexterity; Coordination; Concentration","None","Indoor","Floor space","Low","Develops fine motor skills and concentration","Traditional and Cultural Games"
"G330","Luta de Galo","Rooster Fight","Traditional Game","Beginner","A Brazilian game where players hold one leg and try to knock off a handkerchief tucked in the opponent's belt.","2+","8+","Variable","Handkerchiefs or cloths","Capture the opponent's handkerchief while hopping on one leg.","Balance; Agility; Strategy","2 minutes","Outdoor or Indoor","Open space","Moderate","Improves balance and coordination","Traditional and Cultural Games"
"G313","Kabaddi (India)",,"Traditional Sport","Beginner to Professional","A contact team sport originating from India, where a 'raider' enters the opposing team's half to tag as many defenders as possible and return to their own half without being tackled.","14","7+","40 minutes","No equipment (sometimes a marked court)","Score points by tagging opponents and returning safely.","Agility; Strategy; Breath control","5 minutes","Outdoor","Kabaddi court","High","Enhances physical fitness, strategic thinking, and teamwork","Traditional and Cultural Games"
"G314","Sepak Takraw (Malaysia)","Kick Volleyball","Traditional Sport","Intermediate to Professional","A sport popular in Southeast Asia where players hit a rattan ball over a net using their feet, knees, chest, and head.","6","10+","15-30 minutes","Sepak takraw ball; Net","Score points by grounding the ball on the opponent's side without using hands.","Flexibility; Agility; Coordination","5 minutes","Outdoor or Indoor","Court similar to badminton","High","Improves agility, coordination, and cultural appreciation","Traditional and Cultural Games"
"G315","Go (China)","Weiqi; Baduk","Board Game","Beginner to Master","An abstract strategy board game from China involving two players who alternately place black and white stones on a grid.","2","8+","30 minutes to several hours","Go board; Black and white stones","Control more territory on the board than your opponent.","Strategic thinking; Patience; Spatial reasoning","5 minutes","Indoor","Tabletop","Low","Enhances strategic thinking and concentration","Traditional and Cultural Games"
"G316","Pachisi (India)","Ludo; Parcheesi","Board Game","Beginner","A traditional Indian board game where players race their pieces around the board based on dice rolls.","4","6+","30-60 minutes","Pachisi board; Pawns; Dice or cowrie shells","Be the first to get all your pieces to the home square.","Counting; Strategy; Probability","5 minutes","Indoor","Tabletop","Low","Develops counting skills and strategic planning","Traditional and Cultural Games"
"G317","Mancala (Africa)","Oware; Bao","Board Game","Beginner to Intermediate","A family of board games played around the world, involving moving stones or seeds around a board with pits.","2","6+","15-30 minutes","Mancala board; Stones or seeds","Capture more stones than your opponent.","Counting; Strategy; Planning","2 minutes","Indoor","Tabletop","Low","Improves counting skills and strategic thinking","Traditional and Cultural Games"
"G318","Hnefatafl (Norway)","Viking Chess","Board Game","Beginner to Intermediate","An ancient Scandinavian board game of strategy, involving a king's escape from attackers.","2","8+","20-30 minutes","Hnefatafl board; Playing pieces","Defenders aim to help the king escape; attackers aim to capture the king.","Strategic planning; Tactical thinking","5 minutes","Indoor","Tabletop","Low","Enhances strategic thinking and historical appreciation","Traditional and Cultural Games"
"G319","Xiangqi (China)","Chinese Chess","Board Game","Beginner to Advanced","A two-player strategy board game similar to Western chess, popular in China.","2","6+","30-60 minutes","Xiangqi board; Playing pieces","Checkmate the opponent's general (king).","Strategic thinking; Concentration; Planning","5 minutes","Indoor","Tabletop","Low","Develops strategic thinking and cultural knowledge","Traditional and Cultural Games"
"G320","Shogi (Japan)","Japanese Chess","Board Game","Beginner to Advanced","A two-player strategy board game native to Japan, similar to chess but with unique rules like piece promotion.","2","6+","30-90 minutes","Shogi board; Playing pieces","Checkmate the opponent's king.","Strategic thinking; Memory; Adaptability","5 minutes","Indoor","Tabletop","Low","Enhances strategic planning and cultural appreciation","Traditional and Cultural Games"
"G321","Petanque (France)","Boules","Outdoor Game","Beginner to Advanced","A game originating from France where players throw hollow metal balls towards a small wooden target ball.","6","7+","30-60 minutes","Metal balls (boules); Target ball (cochonnet)","Score points by having your boules closest to the target ball.","Precision; Strategy; Coordination","5 minutes","Outdoor","Gravel or hard dirt surface","Low","Develops precision and social interaction","Traditional and Cultural Games"
"G322","Capoeira (Brazil)",,"Martial Art/Dance","Beginner to Advanced","An Afro-Brazilian martial art combining elements of dance, acrobatics, and music.","Unlimited","10+","Variable","Traditional instruments (berimbau, drums); Comfortable clothing","Engage in a flow of movements with a partner, emphasizing skill and expression.","Flexibility; Rhythm; Cultural expression","10 minutes","Indoor or Outdoor","Open space","Moderate to High","Enhances physical fitness, rhythm, and cultural understanding","Traditional and Cultural Games"
"G323","Kho Kho (India)",,"Traditional Sport","Beginner to Intermediate","A traditional Indian tag game where one team chases and tries to tag the members of the opposing team.","12","7+","9 minutes per inning","Marked Kho Kho court","Score points by tagging as many opponents as possible.","Speed; Strategy; Teamwork","5 minutes","Outdoor","Kho Kho field","High","Improves physical fitness, teamwork, and strategic planning","Traditional and Cultural Games"
"G324","Jianzi (China)","Shuttlecock Kick","Traditional Sport","Beginner to Intermediate","A Chinese game where players keep a weighted shuttlecock in the air using their feet and body, without hands.","Unlimited","6+","Variable","Jianzi (shuttlecock)","Keep the shuttlecock in the air as long as possible.","Coordination; Agility; Balance","2 minutes","Outdoor or Indoor","Open space","Moderate","Enhances coordination and physical fitness","Traditional and Cultural Games"
"G325","Ulama (Mexico)","Mesoamerican Ballgame","Traditional Sport","Intermediate","An ancient ballgame from Mesoamerica played with a rubber ball, where players hit the ball using their hips.","12","12+","Variable","Rubber ball; Ulama court","Keep the ball in play and score points against the opposing team.","Endurance; Agility; Teamwork","10 minutes","Outdoor","Specialized court","High","Promotes physical fitness and cultural heritage awareness","Traditional and Cultural Games"
"G326","Maori Stick Game (New Zealand)","Ti Rakau","Cultural Game","Beginner","A traditional New Zealand Maori game involving rhythmic passing and catching of sticks in patterns.","Unlimited","6+","Variable","Short sticks or dowels","Coordinate stick movements with partners in rhythm.","Rhythm; Coordination; Teamwork","5 minutes","Indoor or Outdoor","Open space","Low","Enhances coordination and cultural appreciation","Traditional and Cultural Games"
"G327","Pilolo (Ghana)",,"Children's Game","Beginner","A traditional Ghanaian game where objects are hidden, and players race to find them upon a signal.","Unlimited","5+","Variable","Small objects (stones, sticks)","Find the hidden object and reach the finish line first.","Speed; Observation; Agility","5 minutes","Outdoor","Open area","Moderate","Develops observation skills and physical fitness","Traditional and Cultural Games"
"G328","Buzkashi (Afghanistan)",,"Traditional Sport","Advanced","A Central Asian sport where horseback players try to place a goat or calf carcass in a goal.","Unlimited (usually two teams)","16+","Variable","Horses; Goat or calf carcass","Score by placing the carcass in the goal area.","Riding skills; Strength; Strategy","15 minutes","Outdoor","Large open field","High","Enhances horsemanship and cultural understanding","Traditional and Cultural Games"
"G329","Gonggi (South Korea)","Korean Jacks","Traditional Game","Beginner","A Korean children's game played with five small stones, involving various throwing and catching sequences.","1+","5+","Variable","Five small stones or plastic pieces","Complete a series of skillful maneuvers with the stones.","Dexterity; Coordination; Concentration","None","Indoor","Floor space","Low","Develops fine motor skills and concentration","Traditional and Cultural Games"
"G330","Luta de Galo (Brazil)","Rooster Fight","Traditional Game","Beginner","A Brazilian game where players hold one leg and try to knock off a handkerchief tucked in the opponent's belt.","2+","8+","Variable","Handkerchiefs or cloths","Capture the opponent's handkerchief while hopping on one leg.","Balance; Agility; Strategy","2 minutes","Outdoor or Indoor","Open space","Moderate","Improves balance and coordination","Traditional and Cultural Games"
"G331","Mahjong (China)",,"Board Game","Intermediate to Advanced","A tile-based game originating from China, played with a set of 144 tiles based on Chinese characters and symbols.","4","12+","1-2 hours","Mahjong tiles; Scoring sticks or chips","Be the first to complete a legal hand by drawing and discarding tiles.","Pattern recognition; Strategy; Memory","10 minutes","Indoor","Tabletop","Low","Enhances memory, strategic thinking, and cultural appreciation","Traditional and Cultural Games"
"G332","Dara (Nigeria)",,"Board Game","Beginner to Intermediate","A two-player abstract strategy game from West Africa, played on a 5x6 grid with stones or tokens.","2","8+","15-30 minutes","Game board (5x6 grid); 12 stones or tokens per player","Align three of your stones in a row to remove an opponent's stone; reduce opponent to two stones to win.","Strategic thinking; Planning; Concentration","2 minutes","Indoor","Tabletop","Low","Develops strategic planning and cultural knowledge","Traditional and Cultural Games"
"G333","Bocce (Italy)","Bocci; Boules","Outdoor Game","Beginner to Advanced","An Italian bowling game where players throw balls to get closest to a smaller target ball called the pallino.","8","7+","30-60 minutes","Bocce balls; Pallino (small target ball)","Score points by having your balls closer to the pallino than your opponent's.","Precision; Strategy; Coordination","5 minutes","Outdoor","Grass or sand court","Low","Enhances precision, coordination, and social interaction","Traditional and Cultural Games"
"G334","Kubb (Sweden)","Viking Chess","Outdoor Game","Beginner to Intermediate","A lawn game where players throw wooden batons to knock down the opponent's wooden blocks (kubbs), ultimately aiming to knock over the king.","12","5+","30-60 minutes","Wooden kubbs; Batons; King piece","Knock down all opponent's kubbs and then the king to win.","Throwing accuracy; Strategy; Teamwork","5 minutes","Outdoor","Grass or flat surface","Low to Moderate","Develops coordination, strategy, and teamwork","Traditional and Cultural Games"
"G335","Stickball (Native American)",,"Traditional Sport","Intermediate","A team sport played by Native American tribes, using sticks with small nets to pass a ball and score goals.","Unlimited","10+","Variable","Stickball sticks (sticks with nets); Ball","Score points by getting the ball into the opponent's goal.","Agility; Teamwork; Coordination","10 minutes","Outdoor","Field or open area","High","Promotes physical fitness and cultural heritage appreciation","Traditional and Cultural Games"
"G336","Chunkey (Native American)","Chunky","Traditional Game","Beginner to Intermediate","An ancient game played by Native American tribes involving rolling a disc-shaped stone and throwing spears where they think it will stop.","Unlimited","10+","Variable","Chunkey stone (disc-shaped); Spears or sticks","Predict where the stone will stop and throw your spear accordingly.","Hand-eye coordination; Prediction; Strategy","5 minutes","Outdoor","Open area","Moderate","Enhances coordination, strategic thinking, and cultural understanding","Traditional and Cultural Games"
